Energy virulence model		dt	E_lower	 E_upper									
m	5997	0.01	0.5	0.9									
													
			smooth_step parameter										
			step_time	1.5									
													
				"E (Energy) series is fixed here, ie not calculated "									
k	t	E_lower (lhs)	E_upper (lhs)	E (lhs)	Step-Virulence (rhs)	Smooth-Step_Virulence (rhs)	E_lower<E<E_upper	E<E_lower	from below	t_last_switch	smoothstep		
226	2.26	0.5	0.9	0.761	0	0	1	0	0	-10.000	1.000		
227	2.27	0.5	0.9	0.7595	0	0	1	0	0	-10.000	1.000		
228	2.28	0.5	0.9	0.758	0	0	1	0	0	-10.000	1.000		
229	2.29	0.5	0.9	0.7565	0	0	1	0	0	-10.000	1.000		
230	2.3	0.5	0.9	0.755	0	0	1	0	0	-10.000	1.000		
231	2.31	0.5	0.9	0.7535	0	0	1	0	0	-10.000	1.000		
232	2.32	0.5	0.9	0.752	0	0	1	0	0	-10.000	1.000		
233	2.33	0.5	0.9	0.7505	0	0	1	0	0	-10.000	1.000		
234	2.34	0.5	0.9	0.749	0	0	1	0	0	-10.000	1.000		
235	2.35	0.5	0.9	0.7475	0	0	1	0	0	-10.000	1.000		
236	2.36	0.5	0.9	0.746	0	0	1	0	0	-10.000	1.000		
237	2.37	0.5	0.9	0.7445	0	0	1	0	0	-10.000	1.000		
238	2.38	0.5	0.9	0.743	0	0	1	0	0	-10.000	1.000		
239	2.39	0.5	0.9	0.7415	0	0	1	0	0	-10.000	1.000		
240	2.4	0.5	0.9	0.74	0	0	1	0	0	-10.000	1.000		
241	2.41	0.5	0.9	0.7385	0	0	1	0	0	-10.000	1.000		
242	2.42	0.5	0.9	0.737	0	0	1	0	0	-10.000	1.000		
243	2.43	0.5	0.9	0.7355	0	0	1	0	0	-10.000	1.000		
244	2.44	0.5	0.9	0.734	0	0	1	0	0	-10.000	1.000		
245	2.45	0.5	0.9	0.7325	0	0	1	0	0	-10.000	1.000		
246	2.46	0.5	0.9	0.731	0	0	1	0	0	-10.000	1.000		
247	2.47	0.5	0.9	0.7295	0	0	1	0	0	-10.000	1.000		
248	2.48	0.5	0.9	0.728	0	0	1	0	0	-10.000	1.000		
249	2.49	0.5	0.9	0.7265	0	0	1	0	0	-10.000	1.000		
250	2.5	0.5	0.9	0.725	0	0	1	0	0	-10.000	1.000		
251	2.51	0.5	0.9	0.7235	0	0	1	0	0	-10.000	1.000		
252	2.52	0.5	0.9	0.722	0	0	1	0	0	-10.000	1.000		
253	2.53	0.5	0.9	0.7205	0	0	1	0	0	-10.000	1.000		
254	2.54	0.5	0.9	0.719	0	0	1	0	0	-10.000	1.000		
255	2.55	0.5	0.9	0.7175	0	0	1	0	0	-10.000	1.000		
256	2.56	0.5	0.9	0.716	0	0	1	0	0	-10.000	1.000		
257	2.57	0.5	0.9	0.7145	0	0	1	0	0	-10.000	1.000		
258	2.58	0.5	0.9	0.713	0	0	1	0	0	-10.000	1.000		
259	2.59	0.5	0.9	0.7115	0	0	1	0	0	-10.000	1.000		
260	2.6	0.5	0.9	0.71	0	0	1	0	0	-10.000	1.000		
261	2.61	0.5	0.9	0.7085	0	0	1	0	0	-10.000	1.000		
262	2.62	0.5	0.9	0.707	0	0	1	0	0	-10.000	1.000		
263	2.63	0.5	0.9	0.7055	0	0	1	0	0	-10.000	1.000		
264	2.64	0.5	0.9	0.704	0	0	1	0	0	-10.000	1.000		
265	2.65	0.5	0.9	0.7025	0	0	1	0	0	-10.000	1.000		
266	2.66	0.5	0.9	0.701	0	0	1	0	0	-10.000	1.000		
267	2.67	0.5	0.9	0.6995	0	0	1	0	0	-10.000	1.000		
268	2.68	0.5	0.9	0.698	0	0	1	0	0	-10.000	1.000		
269	2.69	0.5	0.9	0.6965	0	0	1	0	0	-10.000	1.000		
270	2.7	0.5	0.9	0.695	0	0	1	0	0	-10.000	1.000		
271	2.71	0.5	0.9	0.6935	0	0	1	0	0	-10.000	1.000		
272	2.72	0.5	0.9	0.692	0	0	1	0	0	-10.000	1.000		
273	2.73	0.5	0.9	0.6905	0	0	1	0	0	-10.000	1.000		
274	2.74	0.5	0.9	0.689	0	0	1	0	0	-10.000	1.000		
275	2.75	0.5	0.9	0.6875	0	0	1	0	0	-10.000	1.000		
276	2.76	0.5	0.9	0.686	0	0	1	0	0	-10.000	1.000		
277	2.77	0.5	0.9	0.6845	0	0	1	0	0	-10.000	1.000		
278	2.78	0.5	0.9	0.683	0	0	1	0	0	-10.000	1.000		
279	2.79	0.5	0.9	0.6815	0	0	1	0	0	-10.000	1.000		
280	2.8	0.5	0.9	0.68	0	0	1	0	0	-10.000	1.000		
281	2.81	0.5	0.9	0.6785	0	0	1	0	0	-10.000	1.000		
282	2.82	0.5	0.9	0.677	0	0	1	0	0	-10.000	1.000		
283	2.83	0.5	0.9	0.6755	0	0	1	0	0	-10.000	1.000		
284	2.84	0.5	0.9	0.674	0	0	1	0	0	-10.000	1.000		
285	2.85	0.5	0.9	0.6725	0	0	1	0	0	-10.000	1.000		
286	2.86	0.5	0.9	0.671	0	0	1	0	0	-10.000	1.000		
287	2.87	0.5	0.9	0.6695	0	0	1	0	0	-10.000	1.000		
288	2.88	0.5	0.9	0.668	0	0	1	0	0	-10.000	1.000		
289	2.89	0.5	0.9	0.6665	0	0	1	0	0	-10.000	1.000		
290	2.9	0.5	0.9	0.665	0	0	1	0	0	-10.000	1.000		
291	2.91	0.5	0.9	0.6635	0	0	1	0	0	-10.000	1.000		
292	2.92	0.5	0.9	0.662	0	0	1	0	0	-10.000	1.000		
293	2.93	0.5	0.9	0.6605	0	0	1	0	0	-10.000	1.000		
294	2.94	0.5	0.9	0.659	0	0	1	0	0	-10.000	1.000		
295	2.95	0.5	0.9	0.6575	0	0	1	0	0	-10.000	1.000		
296	2.96	0.5	0.9	0.656	0	0	1	0	0	-10.000	1.000		
297	2.97	0.5	0.9	0.6545	0	0	1	0	0	-10.000	1.000		
298	2.98	0.5	0.9	0.653	0	0	1	0	0	-10.000	1.000		
299	2.99	0.5	0.9	0.6515	0	0	1	0	0	-10.000	1.000		
300	3	0.5	0.9	0.65	0	0	1	0	0	-10.000	1.000		
301	3.01	0.5	0.9	0.6485	0	0	1	0	0	-10.000	1.000		
302	3.02	0.5	0.9	0.647	0	0	1	0	0	-10.000	1.000		
303	3.03	0.5	0.9	0.6455	0	0	1	0	0	-10.000	1.000		
304	3.04	0.5	0.9	0.644	0	0	1	0	0	-10.000	1.000		
